Entry,Gene,LZ6,LZ10,HZ1,HZ2,HZ7,LZ1,LZ5,LZ8,HZ4,HZ5,HZ10,LZ4,LZ7,HZ6,HZ3,LZ9,HZ8,HZ9,LZ2,LZ3,taxonomy
K01176,HZ10__3749_1,3.467482,0.462374,2.289018,1.986544,3.396711,0.155598,2.373153,1.222079,0.674697,0.965099,1.677592,0.890562,1.890213,1.323006,1.362518,1.337234,1.538045,0.499907,0.50167,5.739465,d__Eukaryota;k__norank;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Oxytrichidae;g__Stylonychia;s__Stylonychia lemnae
K01176,HZ10__6538_1,0.055312,0.568978,0.343338,0.099158,0.17468,0.231975,0.275475,0.767585,0.172537,0.399677,0.488931,0.422374,0.147813,0.350654,0.300939,0.109554,0.615826,0.530113,0.593299,0.738901,d__Bacteria;k__norank;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp. CAG:514
K01176,HZ10__3993_2,0.081215,0.218778,0.896039,0.055465,0.897544,0.050461,0.037194,0.095412,0.568899,0.109554,0.159534,0.044697,1.677592,0.536322,0.049097,0.122559,0.173363,0.255465,0.173363,0.105206,d__Bacteria;k__norank;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp. CAG:514
K07405,HZ10__6538_1,0.055312,0.568978,0.343338,0.099158,0.17468,0.231975,0.275475,0.767585,0.172537,0.399677,0.488931,0.422374,0.147813,0.350654,0.300939,0.109554,0.615826,0.530113,0.593299,0.738901,d__Bacteria;k__norank;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp. CAG:514
K00873,HZ10__6229_2,0.213566,0.233928,0.841692,0.218778,2.369979,0.165867,0.823199,0.773601,0.896039,0.058788,0.769111,0.959889,0.897544,0.253859,0.537943,1.128,2.477739,0.79074,1.238473,0.599414,d__Bacteria;k__norank;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. CAG:1124
K01719,HZ10__3843_2,0.081215,0,0,0.055465,0,0.050461,0.037194,0.095412,0.568899,0,0.159534,0.044697,0.08904,0.536322,0.049097,0.122559,0,0.255465,0.173363,0.105206,d__Bacteria;k__norank;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__norank;s__Prevotellaceae bacterium MN60
K01719,HZ10__3749_1,3.467482,0.462374,2.289018,1.986544,3.396711,0.155598,2.373153,1.222079,0.674697,0.965099,1.677592,0.890562,1.890213,1.323006,1.362518,1.337234,1.538045,0.499907,0.50167,5.739465,d__Eukaryota;k__norank;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Oxytrichidae;g__Stylonychia;s__Stylonychia lemnae
